iter	Passed	Remaining
861	2576	412
862	2578	409
863	2580	406
864	2581	402
865	2583	399
866	2585	396
867	2586	393
868	2588	390
869	2590	387
870	2591	383
871	2593	380
872	2595	377
873	2597	374
874	2599	371
875	2600	368
876	2602	364
877	2604	361
878	2605	358
879	2607	355
880	2609	352
881	2611	349
882	2612	346
883	2614	343
884	2616	339
885	2617	336
886	2619	333
887	2621	330
888	2623	327
889	2625	324
890	2627	321
891	2629	318
892	2631	315
893	2633	312
894	2634	309
895	2636	306
896	2638	302
897	2640	299
898	2642	296
899	2644	293
900	2646	290
901	2647	287
902	2650	284
903	2651	281
904	2653	278
905	2655	275
906	2657	272
907	2659	269
908	2661	266
909	2662	263
910	2664	260
911	2666	257
912	2668	254
913	2669	251
914	2672	248
915	2674	245
916	2675	242
917	2677	239
918	2679	236
919	2681	233
920	2683	230
921	2685	227
922	2686	224
923	2689	221
924	2690	218
925	2692	215
926	2694	212
927	2696	209
928	2698	206
929	2700	203
930	2703	200
931	2704	197
932	2706	194
933	2708	191
934	2709	188
935	2712	185
936	2714	182
937	2716	179
938	2718	176
939	2720	173
940	2721	170
941	2723	167
942	2724	164
943	2726	161
944	2728	158
945	2730	155
946	2731	152
947	2733	149
948	2734	146
949	2736	144
950	2737	141
951	2739	138
952	2741	135
953	2742	132
954	2744	129
955	2746	126
956	2747	123
957	2749	120
958	2750	117
959	2752	114
960	2753	111
961	2755	108
962	2757	105
963	2758	103
964	2760	100
965	2762	97
966	2763	94
967	2765	91
968	2766	88
969	2768	85
970	2770	82
971	2771	79
972	2773	76
973	2775	74
974	2776	71
975	2778	68
976	2779	65
977	2781	62
978	2783	59
979	2784	56
980	2786	53
981	2788	51
982	2789	48
983	2791	45
984	2793	42
985	2794	39
986	2796	36
987	2799	33
988	2800	31
989	2802	28
990	2803	25
991	2805	22
992	2807	19
993	2809	16
994	2810	14
995	2812	11
996	2814	8
997	2815	5
998	2817	2
999	2819	0
